,Country name,GDP 2015,GDP 2016,GDP 2017,GDP 2018,GDP 2019,GDP 2020
72,Estonia,1.15174,1.2796399999999999,1.3208793401718102,1.2,1.237,1.192441225
73,Indonesia,0.8282700000000001,0.95104,0.995538592338562,0.899,0.9309999999999999,0.891720712
74,Vietnam,0.63216,0.74037,0.7885475754737851,0.715,0.741,0.718092382
75,Turkey,1.06098,1.1649200000000002,1.1982743740081798,1.148,1.183,1.127169251
76,Kyrgyzstan,0.47428000000000003,0.5604399999999999,0.5962200760841371,0.53,0.551,0.513180971
77,Nigeria,0.65435,0.75216,0.783756256103516,0.6890000000000001,0.696,0.645901859
78,Bhutan,0.77042,0.8527,0.885416388511658,0.7959999999999999,0.813,0.81808728
79,Azerbaijan,1.02389,1.12373,1.1536017656326298,1.024,1.043,0.990272701
80,Pakistan,0.59543,0.68816,0.7268835306167599,0.652,0.677,0.616799474
81,Jordan,0.9019799999999999,0.9967299999999999,0.9910123944282528,0.8220000000000001,0.8370000000000001,0.785179198
82,Montenegro,0.9743799999999999,1.07838,1.12112903594971,1.0170000000000001,1.051,1.010150075
83,China,0.89012,1.0278,1.08116579055786,0.9890000000000001,1.0290000000000001,0.990533412
84,Zambia,0.47038,0.61202,0.6364067792892459,0.562,0.578,0.536833763
85,Romania,1.04345,1.1697,1.21768391132355,1.1159999999999999,1.162,1.1204016209999998
86,Serbia,0.92053,1.03437,1.06931757926941,0.975,1.004,0.9881818290000001
87,Portugal,1.15991,1.27607,1.3151752948761002,1.188,1.2209999999999999,1.168800831
88,Latvia,1.11312,1.2178799999999999,1.26074862480164,1.148,1.187,1.14139545
89,Philippines,0.70532,0.81217,0.85769921541214,0.775,0.807,0.7751206759999999
90,Somaliland region,0.18847,0.8263749999999999,0.8679068982601165,0.777,0.804,0.766871393
91,Morocco,0.7347899999999999,0.8405799999999999,0.8781145811080929,0.779,0.8009999999999999,0.75862211
92,Macedonia,0.91851,1.0193,1.06457793712616,0.9590000000000001,0.8496666666666667,0.8079657556666667
93,Mozambique,0.08308,0.9873000000000001,1.030385345220566,0.9375,0.8983333333333333,0.8573094013333333
94,Albania,0.8786700000000001,0.9553,0.996192753314972,0.9159999999999999,0.9470000000000001,0.906653047
95,Bosnia and Herzegovina,0.8322299999999999,0.9338299999999999,0.982409417629242,0.915,0.945,0.91839546
96,Lesotho,0.37545,0.98085,1.030891627073286,0.9485,0.98,0.9507936539999999
97,Dominican Republic,0.8953700000000001,1.02787,1.07937383651733,0.982,1.015,0.9831918479999999
98,Laos,0.5906600000000001,0.68042,1.0533048510551448,0.948,0.9814999999999999,0.9440323115
99,Mongolia,0.82819,0.9885299999999999,1.0272358655929599,0.914,0.948,0.904872775
100,Swaziland,0.71206,1.118695,1.158361673355105,1.034,1.0645,1.0164714455
101,Greece,1.15406,1.24886,1.28948748111725,1.1540000000000001,1.181,1.128070116
102,Lebanon,1.0256399999999999,1.12268,1.07498753070831,0.965,0.987,0.889232516
103,Hungary,1.12094,1.24142,1.2860119342803997,1.171,1.2009999999999998,1.1643071170000001
104,Honduras,0.59532,0.69429,0.730573117733002,0.62,0.642,0.598763585
105,Tajikistan,0.39047,0.48835,0.524713635444641,0.474,0.493,0.474874616
106,Tunisia,0.88113,0.97724,1.00726580619812,0.9,0.9209999999999999,0.874742687
107,Palestinian Territories,0.59867,0.67024,0.716249227523804,0.642,0.657,0.587819219
108,Bangladesh,0.39753,0.54177,0.586682975292206,0.532,0.562,0.556156278
109,Iran,1.0088,1.11758,1.15687310695648,1.0590000000000002,1.1,1.029322505
110,Ukraine,0.79907,0.87287,0.89465194940567,0.7929999999999999,0.82,0.780434608
111,Iraq,0.98549,1.07474,1.1027104854583702,1.01,1.043,0.9820187090000001
112,South Africa,0.9204899999999999,1.02416,1.05469870567322,0.94,0.96,0.9021404390000001
113,Ghana,0.5455800000000001,0.63107,0.667224824428558,0.5920000000000001,0.611,0.575862467
114,Zimbabwe,0.271,0.35041,0.37584653496742204,0.35700000000000004,0.366,0.425564021
115,Liberia,0.0712,0.10705999999999999,0.11904179304838199,0.076,0.073,0.174103007
116,India,0.64499,0.74036,0.7922212481498722,0.721,0.755,0.730576158
117,Sudan,0.52107,0.63069,0.6595166921615601,0.605,0.5389999999999999,0.507655293
118,Haiti,0.26673,0.34097,0.368610262870789,0.315,0.32299999999999995,0.284734428
119,Congo (Kinshasa),0.0,0.05661,0.0921023488044739,0.069,0.094,0.062487468
