,Country name,Generosity 2015,Generosity 2016,Generosity 2017,Generosity 2018,Generosity 2019,Generosity 2020
93,Mozambique,0.22269,0.201735,0.22753695398569102,0.161,0.13066666666666668,0.12736269366666667
94,Albania,0.14272,0.1684,0.20131294429302202,0.149,0.17800000000000002,0.171027765
95,Bosnia and Herzegovina,0.24808000000000002,0.29889,0.328867495059967,0.21600000000000003,0.263,0.264005244
96,Lesotho,0.16388,0.25587499999999996,0.257917672395706,0.168,0.188,0.1881010125
97,Dominican Republic,0.21684,0.21286,0.186967849731445,0.12,0.113,0.112196781
98,Laos,0.42191999999999996,0.43078999999999995,0.26271604001522053,0.1865,0.174,0.18804125850000003
99,Mongolia,0.3323,0.34539000000000003,0.338464230298996,0.253,0.235,0.26388573600000004
100,Swaziland,0.18259,0.17269500000000002,0.169232115149498,0.1265,0.1175,0.13194286800000002
101,Greece,0.0,0.0,0.0,0.0,0.0,0.0
102,Lebanon,0.21854,0.23693000000000003,0.26445075869560203,0.214,0.166,0.158524141
103,Hungary,0.128,0.099,0.0784016624093056,0.061,0.081,0.070491239
104,Honduras,0.23026999999999997,0.2044,0.23618887364864302,0.19699999999999998,0.24600000000000002,0.256528199
105,Tajikistan,0.22974,0.25998000000000004,0.24899764358997303,0.187,0.23,0.182417125
106,Tunisia,0.06431,0.03936,0.0496933571994305,0.04,0.059000000000000004,0.055881143
107,Palestinian Territories,0.11250999999999999,0.11154000000000001,0.114173173904419,0.086,0.10300000000000001,0.091816261
108,Bangladesh,0.21222,0.19132000000000002,0.17225535213947304,0.153,0.166,0.17674511699999998
109,Iran,0.38086,0.38538,0.387242913246155,0.282,0.27,0.27697894
110,Ukraine,0.15275,0.20363,0.270061463117599,0.187,0.187,0.17855131600000002
111,Iraq,0.17922000000000002,0.19589,0.19963726401329,0.14800000000000002,0.14800000000000002,0.15300206800000002
112,South Africa,0.11972999999999999,0.13656,0.13936237990856198,0.10300000000000001,0.13,0.12640684800000002
113,Ghana,0.23087,0.21203000000000002,0.25692394375801103,0.212,0.245,0.261291206
114,Zimbabwe,0.18987,0.18503,0.189143493771553,0.132,0.151,0.151349187
115,Liberia,0.24361999999999998,0.24063,0.26654988527298,0.20600000000000002,0.233,0.22696787100000002
116,India,0.26475,0.25028,0.23153848946094502,0.172,0.2,0.237072483
117,Sudan,0.19062,0.18077000000000001,0.182317450642586,0.134,0.3095,0.3504910695
