,Country name,Perceptions of corruption 2015,Perceptions of corruption 2016,Perceptions of corruption 2017,Perceptions of corruption 2018,Perceptions of corruption 2019,Perceptions of corruption 2020
63,Russia,0.03005,0.03586,0.0329628810286522,0.025,0.031,0.045699362
64,Jamaica,0.02299,0.04294,0.0552677810192108,0.031,0.027999999999999997,0.030147785
65,North Cyprus,0.1428,0.16577999999999998,0.155353352427483,0.033,0.034499999999999996,0.0406774645
66,Cyprus,0.06146,0.05227999999999999,0.0412379764020443,0.035,0.040999999999999995,0.051207144
67,Algeria,0.17382999999999998,0.16157,0.14609611034393302,0.135,0.114,0.12919065400000002
68,Kosovo,0.04741,0.06547,0.0574716180562973,0.023,0.006,0.008559024
69,Turkmenistan,0.30844,0.28467,0.25927034020423895,0.037000000000000005,0.027999999999999997,0.03350389
70,Mauritius,0.07521,0.05202999999999999,0.0421815551817417,0.05,0.06,0.084088229
71,Hong Kong,0.37124,0.31647,0.11271523870527737,0.11199999999999999,0.1105,0.142927524
72,Estonia,0.15184,0.18519000000000002,0.18324892222881303,0.174,0.161,0.201766819
73,Indonesia,0.0,0.00322,0.0153171354904771,0.018000000000000002,0.027999999999999997,0.038278612999999996
74,Vietnam,0.10440999999999999,0.11556,0.0876332372426987,0.079,0.073,0.089848459
75,Turkey,0.15746,0.12347999999999999,0.0996715798974037,0.109,0.106,0.120983243
76,Kyrgyzstan,0.042319999999999997,0.047619999999999996,0.0394391790032387,0.035,0.023,0.030466691
77,Nigeria,0.0403,0.0305,0.0261215660721064,0.032,0.040999999999999995,0.047589935
78,Bhutan,0.15445,0.1616,0.17338038980960802,0.171,0.16699999999999998,0.147448558
79,Azerbaijan,0.16065,0.17914000000000002,0.180987507104874,0.17600000000000002,0.182,0.24730718100000001
80,Pakistan,0.10464000000000001,0.1388,0.12434806674718901,0.113,0.098,0.122592121
81,Jordan,0.14293,0.13297,0.11980327218771002,0.134,0.13,0.151878625
82,Montenegro,0.14296,0.12721,0.0881741940975189,0.081,0.08,0.09843511099999999
83,China,0.02781,0.02745,0.0227942746132612,0.10300000000000001,0.1,0.117255554
84,Zambia,0.12468,0.11479,0.0782135501503944,0.08199999999999999,0.087,0.086705238
85,Romania,0.006490000000000001,0.006790000000000001,0.0043879006989300294,0.001,0.005,0.0008295689999999999
86,Serbia,0.02617,0.04339,0.0409037806093693,0.043,0.039,0.059447147
87,Portugal,0.01078,0.01521,0.0158694516867399,0.017,0.025,0.027733466000000002
88,Latvia,0.06332,0.0889,0.0738427266478539,0.066,0.064,0.090391524
89,Philippines,0.12279000000000001,0.11757000000000001,0.0993318930268288,0.105,0.107,0.13038572699999998
90,Somaliland region,0.39928,0.100805,0.09354753792285919,0.0895,0.0915,0.1038856655
91,Morocco,0.08546000000000001,0.08404,0.0877631828188896,0.07400000000000001,0.076,0.07738560400000001
92,Macedonia,0.053270000000000005,0.07047,0.0602777935564518,0.052000000000000005,0.059666666666666666,0.060044164333333344
93,Mozambique,0.15603,0.06174,0.050071004778146744,0.042,0.043333333333333335,0.04270272466666667
94,Albania,0.06412999999999999,0.05301,0.0398642159998417,0.032,0.027000000000000003,0.025361285
95,Bosnia and Herzegovina,0.00227,0.0,0.0,0.0,0.006,0.001172487
96,Lesotho,0.12504,0.061860000000000005,0.056972626596689,0.053,0.05349999999999999,0.0585590845
97,Dominican Republic,0.14234000000000002,0.12372000000000001,0.113945253193378,0.106,0.10099999999999999,0.115945682
98,Laos,0.24249,0.22423,0.07342377118766286,0.069,0.06949999999999999,0.08123940399999999
99,Mongolia,0.026660000000000003,0.03285,0.0329022891819477,0.032,0.038,0.046533125999999994
100,Swaziland,0.0306,0.037059999999999996,0.03809603303670885,0.038000000000000006,0.036000000000000004,0.047688738999999994
101,Greece,0.013969999999999998,0.04127,0.043289776891470004,0.044000000000000004,0.034,0.048844352
102,Lebanon,0.04582,0.030610000000000002,0.037513829767704,0.136,0.027000000000000003,0.021518147
103,Hungary,0.02758,0.044719999999999996,0.0366369374096394,0.022000000000000002,0.02,0.027548173
104,Honduras,0.06825,0.06906,0.0733454525470734,0.07400000000000001,0.078,0.086807102
105,Tajikistan,0.15072,0.13509000000000002,0.14637714624404902,0.034,0.14400000000000002,0.221779913
106,Tunisia,0.06358,0.0817,0.0867231488227844,0.063,0.055,0.043899573
107,Palestinian Territories,0.12905,0.10613,0.0892826020717621,0.076,0.066,0.07191365200000001
108,Bangladesh,0.12569,0.12583,0.123717859387398,0.14400000000000002,0.14300000000000002,0.176735908
109,Iran,0.058629999999999995,0.0557,0.048761073499918005,0.129,0.125,0.142651513
110,Ukraine,0.02961,0.01829,0.0230294708162546,0.011000000000000001,0.01,0.00965116
111,Iraq,0.13788,0.13635999999999998,0.10721575468778599,0.095,0.08900000000000001,0.073164992
112,South Africa,0.08884,0.08415,0.0725094974040985,0.055999999999999994,0.055,0.05950214
113,Ghana,0.04355,0.0326,0.0253363698720932,0.028999999999999998,0.04,0.056570380999999996
114,Zimbabwe,0.08079,0.08582000000000001,0.0953753814101219,0.099,0.08900000000000001,0.080928579
115,Liberia,0.06232000000000001,0.04852,0.0389482490718365,0.03,0.033,0.051139875999999994
116,India,0.08492000000000001,0.08722,0.0922268852591515,0.09300000000000001,0.085,0.105587982
117,Sudan,0.1466,0.10039,0.089847519993782,0.08199999999999999,0.0975,0.133761827
118,Haiti,0.17175,0.14476,0.0998721495270729,0.10400000000000001,0.11,0.161935672
119,Congo (Kinshasa),0.07625,0.06075,0.0602413564920425,0.052000000000000005,0.053,0.081466645
120,Nepal,0.059070000000000004,0.07007999999999999,0.0729755461215973,0.078,0.08900000000000001,0.127502963
121,Ethiopia,0.15048,0.1717,0.16545571386814098,0.146,0.1,0.117437035
122,Sierra Leone,0.08786000000000001,0.08196,0.0710951760411263,0.053,0.045,0.047940935999999996
123,Mauritania,0.17461,0.17955,0.136957004666328,0.09300000000000001,0.08800000000000001,0.122257635
124,Kenya,0.05839,0.06686,0.0646413192152977,0.055,0.053,0.067201078
125,Djibouti,0.28105,0.05151,0.0456578703597188,0.041499999999999995,0.058499999999999996,0.085909631
126,Armenia,0.039,0.036160000000000005,0.0266744215041399,0.027999999999999997,0.064,0.104618184
127,Botswana,0.12474,0.10769000000000001,0.0985831990838051,0.092,0.1,0.101786368
128,Myanmar,0.19034,0.20243,0.188816204667091,0.17800000000000002,0.172,0.18753035399999998
129,Georgia,0.38331,0.3188,0.25166663527488703,0.215,0.16399999999999998,0.174088076
130,Malawi,0.06977,0.07564,0.0727116540074348,0.08,0.08900000000000001,0.131633952
131,Sri Lanka,0.09179,0.07964,0.0736539661884308,0.05,0.047,0.049444564
132,Cameroon,0.05786,0.06126,0.0513066314160824,0.043,0.037000000000000005,0.054393422000000004
133,Bulgaria,0.00872,0.00615,0.0110515309497714,0.009000000000000001,0.004,0.0
134,Egypt,0.06324,0.10393,0.114381365478039,0.107,0.067,0.095461793
135,Yemen,0.07854,0.05892000000000001,0.0567674227058887,0.064,0.077,0.08735212699999999
136,Angola,0.07122,0.08434,0.0697203353047371,0.061,0.0645,0.07474920149999999
137,Mali,0.12352,0.13647,0.10497024655342098,0.055999999999999994,0.052000000000000005,0.06214627599999999
138,Congo (Brazzaville),0.11685999999999999,0.09752999999999999,0.0796181336045265,0.077,0.09300000000000001,0.118670784
139,Comoros,0.19899999999999998,0.18437,0.06834392622113225,0.069,0.07650000000000001,0.09124481300000001
140,Uganda,0.07267,0.06442,0.057069718837738,0.061,0.06,0.063818842
141,Senegal,0.10712999999999999,0.11681,0.11546044796705199,0.08199999999999999,0.07200000000000001,0.081865937
142,Gabon,0.11091,0.09314,0.0760467872023582,0.052000000000000005,0.055,0.05580453900000001
143,Niger,0.15639,0.17176,0.13857294619083402,0.099,0.102,0.137554765
144,Cambodia,0.07247,0.08092,0.0681059509515762,0.065,0.062,0.072837502
145,Tanzania,0.05747000000000001,0.05099,0.0660351067781448,0.09699999999999999,0.147,0.20388086100000002
146,Madagascar,0.08123999999999999,0.07506,0.0672319754958153,0.049,0.040999999999999995,0.076248638
147,Central African Republic,0.08288999999999999,0.06229,0.06040692888200285,0.0545,0.0595,0.081002023
148,Chad,0.05269,0.04952,0.0535818822681904,0.06,0.078,0.085755408
149,Guinea,0.12139000000000001,0.1192,0.110937617719173,0.094,0.086,0.11220455900000001
150,Ivory Coast,0.17922000000000002,0.1553,0.130061775445938,0.10300000000000001,0.09,0.09349579400000001
151,Burkina Faso,0.12832000000000002,0.12533,0.12032810598611803,0.128,0.113,0.126408055
152,Afghanistan,0.09719,0.07112,0.0611578300595284,0.036000000000000004,0.025,0.001225785
153,Rwanda,0.55191,0.50521,0.455220013856888,0.444,0.41100000000000003,0.485542476
154,Benin,0.0801,0.06681000000000001,0.0609290152788162,0.067,0.08199999999999999,0.125931874
155,Syria,0.18905999999999998,0.17232999999999998,0.15134713053703303,0.14400000000000002,0.141,0.169059351
156,Burundi,0.10062,0.09419,0.0841479450464249,0.076,0.18,0.212186828
157,Togo,0.10730999999999999,0.11587,0.0956650152802467,0.10099999999999999,0.085,0.114826456
