,Country name,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Log GDP per capita,Explained by: Perceptions of corruption,Explained by: Social support,Score,year,code
101,Tunisia,0.289680689573288,0.0496933571994305,0.613212049007416,1.00726580619812,0.0867231488227844,0.8683514595031742,4.80499982833862,2017,TUN
102,Palestinian Territories,0.25471106171608,0.114173173904419,0.565666973590851,0.716249227523804,0.0892826020717621,1.1556471586227401,4.77500009536743,2017,PSE
103,Egypt,0.28211015462875394,0.128631442785263,0.520187258720398,0.989701807498932,0.114381365478039,0.997471392154694,4.7350001335144,2017,EGY
104,Bulgaria,0.28923171758651695,0.113177694380283,0.708217680454254,1.1614590883255,0.0110515309497714,1.4343794584274299,4.71400022506714,2017,BGR
105,Sierra Leone,0.318697690963745,0.293040901422501,0.005564753897488121,0.36842092871666,0.0710951760411263,0.984136044979095,4.70900011062622,2017,SLE
106,Cameroon,0.430388748645782,0.23629845678806302,0.132892116904259,0.564305365085602,0.0513066314160824,0.946018218994141,4.69500017166138,2017,CMR
107,Iran,0.24932260811328896,0.387242913246155,0.639333188533783,1.15687310695648,0.048761073499918005,0.7115512490272521,4.69199991226196,2017,IRN
108,Albania,0.381498634815216,0.20131294429302202,0.731159746646881,0.996192753314972,0.0398642159998417,0.8036852478981021,4.64400005340576,2017,ALB
109,Bangladesh,0.478356659412384,0.17225535213947304,0.533241033554077,0.586682975292206,0.123717859387398,0.735131740570068,4.60799980163574,2017,BGD
110,Namibia,0.520303547382355,0.0771337449550629,0.33861181139946,0.964434325695038,0.0931469723582268,1.0984708070755,4.57399988174438,2017,NAM
111,Kenya,0.45276376605033897,0.444860309362411,0.30998834967613204,0.560479462146759,0.0646413192152977,1.0679507255554201,4.55299997329712,2017,KEN
112,Mozambique,0.48079109191894503,0.322228103876114,0.10665443539619399,0.23430564999580397,0.17943638563156103,0.870701014995575,4.550000190734861,2017,MOZ
113,Myanmar,0.514492034912109,0.8380751609802249,0.397522568702698,0.36711055040359497,0.188816204667091,1.12323594093323,4.54500007629395,2017,MMR
114,Senegal,0.37792226672172496,0.183468893170357,0.409362852573395,0.479309022426605,0.11546044796705199,1.17969191074371,4.53499984741211,2017,SEN
115,Zambia,0.461603492498398,0.249580144882202,0.25783589482307395,0.6364067792892459,0.0782135501503944,1.00318729877472,4.513999938964839,2017,ZMB
116,Iraq,0.288555532693863,0.19963726401329,0.501180469989777,1.1027104854583702,0.10721575468778599,0.978613197803497,4.49700021743774,2017,IRQ
117,Gabon,0.31232857704162603,0.0437853783369064,0.35657858848571794,1.1982102394104,0.0760467872023582,1.1556202173233001,4.46500015258789,2017,GAB
118,Ethiopia,0.408842742443085,0.31265074014663696,0.35340970754623396,0.339233845472336,0.16545571386814098,0.8646692037582401,4.46000003814697,2017,ETH
119,Sri Lanka,0.561213254928589,0.49086356163024897,0.625130832195282,1.00985014438629,0.0736539661884308,1.25997638702393,4.44000005722046,2017,LKA
120,Armenia,0.198303267359734,0.0834880918264389,0.637524425983429,0.900596737861633,0.0266744215041399,1.00748372077942,4.37599992752075,2017,ARM
121,India,0.469987004995346,0.23153848946094502,0.455427616834641,0.7922212481498722,0.0922268852591515,0.754372596740723,4.31500005722046,2017,IND
122,Mauritania,0.0960980430245399,0.201870024204254,0.285349279642105,0.6484572887420649,0.136957004666328,1.2720308303833001,4.29199981689453,2017,MRT
123,Congo (Brazzaville),0.4350258708000179,0.12085212767124198,0.28995743393898,0.8089642524719242,0.0796181336045265,0.8320443630218509,4.29099988937378,2017,COG
124,Georgia,0.309410035610199,0.0540088154375553,0.649546980857849,0.950612664222717,0.25166663527488703,0.57061493396759,4.28599977493286,2017,GEO
125,Congo (Kinshasa),0.235961347818375,0.246455833315849,0.191407024860382,0.0921023488044739,0.0602413564920425,1.22902345657349,4.2800002098083505,2017,COD
126,Mali,0.306613743305206,0.183354198932648,0.16936567425727803,0.476180493831635,0.10497024655342098,1.2814733982086202,4.19000005722046,2017,MLI
127,Ivory Coast,0.4477061927318571,0.201237469911575,0.0486421696841717,0.6030489206314089,0.130061775445938,0.904780030250549,4.17999982833862,2017,CIV
128,Cambodia,0.633375823497772,0.385922968387604,0.429783403873444,0.6017650961875921,0.0681059509515762,1.00623834133148,4.1680002212524405,2017,KHM
129,Sudan,0.0149958552792668,0.182317450642586,0.290920823812485,0.6595166921615601,0.089847519993782,1.21400856971741,4.138999938964839,2017,SDN
130,Ghana,0.423026293516159,0.25692394375801103,0.29563772678375205,0.667224824428558,0.0253363698720932,0.873664736747742,4.11999988555908,2017,GHA
131,Ukraine,0.12297477573156401,0.270061463117599,0.575903952121735,0.89465194940567,0.0230294708162546,1.39453756809235,4.09600019454956,2017,UKR
132,Uganda,0.443185955286026,0.32576605677604703,0.21763260662555703,0.381430715322495,0.057069718837738,1.12982773780823,4.08099985122681,2017,UGA
133,Burkina Faso,0.32436785101890603,0.250864684581757,0.21584425866603896,0.35022771358490007,0.12032810598611803,1.04328000545502,4.03200006484985,2017,BFA
134,Niger,0.36365869641304,0.22867384552955602,0.26850500702858,0.16192533075809498,0.13857294619083402,0.993025004863739,4.02799987792969,2017,NER
135,Malawi,0.466914653778076,0.28717046976089505,0.315089583396912,0.233442038297653,0.0727116540074348,0.5125688314437871,3.97000002861023,2017,MWI
136,Chad,0.16234202682972002,0.21611385047435802,0.0411347150802612,0.43801298737525896,0.0535818822681904,0.953855872154236,3.9360001087188703,2017,TCD
137,Zimbabwe,0.336384207010269,0.189143493771553,0.19676375389099102,0.37584653496742204,0.0953753814101219,1.08309590816498,3.875,2017,ZWE
