,Country name,Social support 2015,Social support 2016,Social support 2017,Social support 2018,Social support 2019,Social Support 2020
133,Bulgaria,1.10614,0.92542,1.434379458,1.515,1.513,1.460578918
134,Egypt,0.747,0.49813,0.997471392,1.025,1.039,0.982539535
135,Yemen,0.68093,0.47493,0.935382247,1.073,1.163,1.177477121
136,Angola,0.8604,0.66366,1.10441196,1.125,1.134,1.075309426
137,Mali,1.03526,0.86333,1.281473398,1.233,1.105,0.97314173
138,Congo (Brazzaville),0.6629,0.47799,0.832044363,0.811,0.799,0.757636011
139,Comoros,0.79273,0.60323,0.98093605,0.9505,0.934,0.904981703
140,Uganda,1.13299,0.90981,1.129827738,1.09,1.069,1.052327394
141,Senegal,0.97619,0.77416,1.179691911,1.117,1.134,0.95459342
142,Gabon,0.90528,0.72368,1.155620217,1.164,1.183,1.10639751
143,Niger,0.77265,0.6053,0.993025005,0.867,0.774,0.703800142
144,Cambodia,0.62736,0.5375,1.006238341,1.088,1.122,1.071426034
145,Tanzania,1.00268,0.77623,1.041989803,0.991,0.885,0.872674644
146,Madagascar,0.66801,0.46115,0.913020372,0.908,0.916,0.823694348
147,Central African Republic,0.714315,0.546465,0.933438122,0.9075,0.841,0.781406313
148,Chad,0.76062,0.63178,0.953855872,0.907,0.766,0.739118278
149,Guinea,0.46475,0.3109,0.791244686,0.792,0.829,0.75136596
150,Ivory Coast,0.77115,0.57576,0.90478003,0.872,0.808,0.799727261
151,Burkina Faso,0.85188,0.63054,1.043280005,1.097,1.056,0.9293859
152,Afghanistan,0.30285,0.11037,0.581543326,0.537,0.517,0.356433839
153,Rwanda,0.7737,0.61586,0.945707023,0.896,0.711,0.522876322
154,Benin,0.35386,0.10419,0.435299844,0.372,0.437,0.352428436
155,Syria,0.47489,0.14866,0.396102607,0.382,0.378,0.378001854
156,Burundi,0.41587,0.23442,0.629793584,0.627,0.447,0.403575271
157,Togo,0.13995,0.23442,0.43188253,0.474,0.572,0.547622859
